date,value
2023-06-19,994544.1
2023-06-20,994544.1
2023-06-21,994544.1
2023-06-22,994544.1
2023-06-23,997669.34
2023-06-26,1003207.34
2023-06-27,1035370.34
2023-06-28,1029619.34
2023-06-29,1024720.34
2023-06-30,1034518.34
2023-07-03,1048576.34
2023-07-04,1035583.34
2023-07-05,1038778.34
2023-07-06,1062421.34
2023-07-07,1064764.34
2023-07-10,1073710.34
2023-07-11,1083508.34
2023-07-12,1079248.34
2023-07-13,1097566.34
2023-07-14,1099496.46
2023-07-17,1099496.46
2023-07-18,1099496.46
2023-07-19,1099496.46
2023-07-20,1099496.46
2023-07-21,1099496.46
2023-07-24,1099496.46
2023-07-25,1099496.46
2023-07-26,1099496.46
2023-07-27,1099496.46
2023-07-28,1099496.46
2023-07-31,1099496.46
2023-08-01,1099496.46
2023-08-02,1099496.46
2023-08-03,1099496.46
2023-08-04,1099496.46
2023-08-07,1099496.46
2023-08-08,1099496.46
2023-08-09,1099496.46
2023-08-10,1099496.46
2023-08-11,1099496.46
2023-08-14,1099496.46
2023-08-15,1099496.46
2023-08-16,1099496.46
2023-08-17,1099496.46
2023-08-18,1099496.46
2023-08-21,1099496.46
2023-08-22,1099496.46
2023-08-23,1099496.46
2023-08-24,1099496.46
2023-08-25,1099496.46
2023-08-28,1099496.46
2023-08-29,1099496.46
2023-08-30,1099496.46
2023-08-31,1099496.46
2023-09-01,1099496.46
2023-09-04,1099496.46
2023-09-05,1099496.46
2023-09-06,1099496.46
2023-09-07,1099496.46
2023-09-08,1099496.46
2023-09-11,1099496.46
2023-09-12,1087195.44
2023-09-13,1090806.76
2023-09-14,1090806.76
2023-09-15,1090806.76
2023-09-18,1090806.76
2023-09-19,1090806.76
2023-09-20,1090806.76
2023-09-21,1090806.76
2023-09-22,1090806.76
2023-09-25,1090806.76
2023-09-26,1090806.76
2023-09-27,1090806.76
2023-09-28,1090806.76
2023-09-29,1090806.76
2023-10-02,1090806.76
2023-10-03,1090806.76
2023-10-04,1090806.76
2023-10-05,1090806.76
2023-10-06,1090806.76
2023-10-09,1090806.76
2023-10-10,1090806.76
2023-10-11,1090806.76
2023-10-12,1090806.76
2023-10-13,1090806.76
2023-10-16,1090806.76
2023-10-17,1090806.76
2023-10-18,1090806.76
2023-10-19,1090806.76
2023-10-20,1090806.76
2023-10-23,1090806.76
2023-10-24,1090806.76
2023-10-25,1090806.76
2023-10-26,1090806.76
2023-10-27,1090806.76
2023-10-30,1090806.76
2023-10-31,1090806.76
2023-11-01,1090806.76
2023-11-02,1090806.76
2023-11-03,1095937.01
2023-11-06,1095937.01
2023-11-07,1061393.01
2023-11-08,1080433.01
2023-11-09,1083425.01
2023-11-10,1064657.01
2023-11-13,1050241.01
2023-11-14,1042897.01
2023-11-15,1039905.01
2023-11-16,1041265.01
2023-11-17,1043169.01
2023-11-20,1029025.01
2023-11-21,1008353.01
2023-11-22,1038545.01
2023-11-23,1013521.01
2023-11-24,1046161.01
2023-11-27,1026577.01
2023-11-28,1016785.01
2023-11-29,1014881.01
2023-11-30,1002097.01
2023-12-01,1040993.01
2023-12-04,1021953.01
2023-12-05,1037729.01
2023-12-06,1033377.01
2023-12-07,1042625.01
2023-12-08,1015153.01
2023-12-11,1049969.01
2023-12-12,1058401.01
2023-12-13,1048881.01
2023-12-14,1056769.01
2023-12-15,1058673.01
2023-12-18,1069281.01
2023-12-19,1086961.01
2023-12-20,1110625.01
2023-12-21,1145441.01
2023-12-22,1162033.01
2023-12-25,1208273.01
2023-12-26,1189233.01
2023-12-27,1184609.01
2023-12-28,1173729.01
2023-12-29,1180529.01
2024-01-01,1209361.01
2024-01-02,1179985.01
2024-01-03,1164209.01
2024-01-04,1166657.01
2024-01-05,1155505.01
2024-01-08,1152241.01
2024-01-09,1151909.17
2024-01-10,1151909.17
2024-01-11,1160421.8
2024-01-12,1156424.25
2024-01-15,1156424.25
2024-01-16,1156424.25
2024-01-17,1156424.25
2024-01-18,1156424.25
2024-01-19,1156424.25
2024-01-22,1156424.25
2024-01-23,1156424.25
2024-01-24,1156424.25
2024-01-25,1156424.25
2024-01-26,1156424.25
2024-01-29,1156424.25
2024-01-30,1156424.25
2024-01-31,1156424.25
2024-02-01,1156424.25
2024-02-02,1156424.25
2024-02-05,1156424.25
2024-02-06,1156424.25
2024-02-07,1156424.25
2024-02-08,1156424.25
2024-02-09,1156424.25
2024-02-12,1156424.25
2024-02-13,1156424.25
2024-02-14,1156424.25
2024-02-15,1156424.25
2024-02-16,1156424.25
2024-02-19,1156424.25
2024-02-20,1156424.25
2024-02-21,1156424.25
2024-02-22,1156424.25
2024-02-23,1156424.25
2024-02-26,1156424.25
2024-02-27,1156424.25
2024-02-28,1156424.25
2024-02-29,1156424.25
2024-03-01,1156424.25
2024-03-04,1156424.25
2024-03-05,1156424.25
2024-03-06,1156424.25
2024-03-07,1156424.25
2024-03-08,1156424.25
2024-03-11,1156424.25
2024-03-12,1156424.25
2024-03-13,1156424.25
2024-03-14,1156424.25
2024-03-15,1156424.25
2024-03-18,1156424.25
2024-03-19,1156424.25
2024-03-20,1156424.25
2024-03-21,1156424.25
2024-03-22,1156424.25
2024-03-25,1156424.25
2024-03-26,1156424.25
2024-03-27,1156424.25
2024-03-28,1147570.4
2024-03-29,1183320.4
2024-04-01,1175895.4
2024-04-02,1166820.4
2024-04-03,1166545.4
2024-04-04,1154445.4
2024-04-05,1143995.4
2024-04-08,1129145.4
2024-04-09,1170670.4
2024-04-10,1181120.4
2024-04-11,1191020.4
2024-04-12,1222920.4
2024-04-15,1233645.4
2024-04-16,1235295.4
2024-04-17,1247670.4
2024-04-18,1272145.4
2024-04-19,1248495.4
2024-04-22,1266920.4
2024-04-23,1268570.4
2024-04-24,1276270.4
2024-04-25,1285070.4
2024-04-26,1248770.4
2024-04-29,1246445.44
2024-04-30,1246445.44
2024-05-01,1246445.44
2024-05-02,1246445.44
2024-05-03,1246445.44
2024-05-06,1246445.44
2024-05-07,1261286.49
2024-05-08,1252997.65
2024-05-09,1252997.65
2024-05-10,1252997.65
2024-05-13,1252997.65
2024-05-14,1252997.65
2024-05-15,1252997.65
2024-05-16,1252997.65
2024-05-17,1252997.65
2024-05-20,1252997.65
2024-05-21,1252997.65
2024-05-22,1252997.65
2024-05-23,1252997.65
2024-05-24,1252997.65
2024-05-27,1252997.65
2024-05-28,1252997.65
2024-05-29,1252997.65
2024-05-30,1252997.65
2024-05-31,1252997.65
2024-06-03,1252997.65
2024-06-04,1252997.65
2024-06-05,1252997.65
2024-06-06,1252997.65
2024-06-07,1252997.65
2024-06-10,1252997.65
2024-06-11,1252997.65
2024-06-12,1252997.65
2024-06-13,1252997.65
2024-06-14,1252997.65
2024-06-17,1252997.65
2024-06-18,1252997.65
2024-06-19,1252997.65
2024-06-20,1252997.65
2024-06-21,1252997.65
2024-06-24,1252997.65
2024-06-25,1252997.65
2024-06-26,1252997.65
2024-06-27,1252997.65
2024-06-28,1252997.65
2024-07-01,1252997.65
2024-07-02,1252997.65
2024-07-03,1252997.65
2024-07-04,1252997.65
2024-07-05,1252997.65
2024-07-08,1252997.65
2024-07-09,1252997.65
2024-07-10,1252997.65
2024-07-11,1252997.65
2024-07-12,1252997.65
2024-07-15,1252997.65
2024-07-16,1252997.65
2024-07-17,1252997.65
2024-07-18,1252997.65
