entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2023-06-23,2023-07-14,long,21300,44.25,49.23,104952.36,11.144,15,688001.SH,688001.SH,688001.SH
2023-09-12,2023-09-13,long,22200,47.0,46.66,-8689.7,-0.833,1,688001.SH,688001.SH,688001.SH
2023-11-03,2024-01-09,long,27200,37.96,40.25,61102.41,5.923,47,688001.SH,688001.SH,688001.SH
2024-01-11,2024-01-12,long,26000,41.97,42.19,4515.08,0.414,1,688001.SH,688001.SH,688001.SH
2024-03-28,2024-04-29,long,27500,39.86,43.18,90021.2,8.219,22,688001.SH,688001.SH,688001.SH
2024-05-07,2024-05-08,long,26200,45.16,45.46,6552.2,0.554,1,688001.SH,688001.SH,688001.SH
2024-08-21,2024-08-22,long,19500,60.85,59.81,-21569.01,-1.819,1,688001.SH,688001.SH,688001.SH
2024-08-26,2024-09-04,long,19700,59.34,58.75,-12899.6,-1.104,7,688001.SH,688001.SH,688001.SH
2024-11-07,2024-11-12,long,19700,58.58,60.99,46169.59,4.004,3,688001.SH,688001.SH,688001.SH
2024-11-13,2024-11-18,long,18500,64.73,66.81,37131.96,3.103,3,688001.SH,688001.SH,688001.SH
2024-11-22,2024-12-05,long,19500,63.24,67.87,88856.27,7.211,9,688001.SH,688001.SH,688001.SH
2024-12-23,2024-12-25,long,17200,76.51,72.86,-64177.35,-4.881,2,688001.SH,688001.SH,688001.SH
2025-03-31,2025-04-03,long,14100,88.78,91.88,42298.05,3.382,3,688001.SH,688001.SH,688001.SH
2025-04-04,2025-04-25,long,14200,91.12,99.29,114497.89,8.856,15,688001.SH,688001.SH,688001.SH
2025-07-10,2025-07-16,long,14500,97.0,101.25,60028.55,4.271,4,688001.SH,688001.SH,688001.SH
2025-09-11,2025-10-15,long,15500,94.13,141.4,730493.94,50.108,24,688001.SH,688001.SH,688001.SH
